,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
2,2,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASUS ROG STRIX B550-F GAMING WIFI II, AM4 AMD", 11 ,"(S/ 1.007,68)",https://www.sercoplus.com/tarjeta-de-video/13646-mainboard-asus-rog-strix-b550-f-gaming-w.html
3,3,Sercoplus,MB,AM4,AM4,-,MAINBOARD MSI B450M PRO VDH MAX AM4 AMD, 0 ,"(S/ 330,88)",https://www.sercoplus.com/socket-amd-am4/10975-mainboard-msi-b450-pro-vdh-max-amd.html
4,4,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE B450 AORUS ELITE V2 AM4 AMD, 12 ,"(S/ 409,84)",https://www.sercoplus.com/socket-amd-am4/12123-mainboard-gigabyte-b450-aorus-elite-v2-a.html
5,5,Sercoplus,MB,AM4,AM4,-,"MAINBOARD MSI A520M-PRO-VH, AM4 AMD", 17 ,"(S/ 249,29)",https://www.sercoplus.com/socket-amd-am4/13752-mainboard-msi-a520m-pro-vh-am4-amd.html
6,6,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASUS ROG STRIX B550-F GAMING AM4 AMD, 3 ,"(S/ 804,64)",https://www.sercoplus.com/socket-amd-am4/11007-motherboard-asus-rog-strix-b550-f-gaming-am4-amd-b550-ddr4-sata-6-0-usb-3-1-rog-strix-b550-f-gaming.html
7,7,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK X570 PHANTOM GAMING 4, AM4 AMD", 2 ,"(S/ 654,24)",https://www.sercoplus.com/socket-amd-am4/12129-mainboard-asrock-x570-phantom-gaming-4.html
8,8,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B550 TAICHI WIFI AM4 AMD., 1 ,"(S/ 1.466,40)",https://www.sercoplus.com/socket-amd-am4/11180-mainboard-asrock-b550-taichi-am4-amd.html
9,9,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK A520M-HVS, AM4 AMD", >20 ,"(S/ 285,76)",https://www.sercoplus.com/socket-amd-am4/12369-mainboard-asrock-a520m-hvs-am4-amd.html
10,10,Sercoplus,MB,AM4,AM4,-,MAINBOARD ASROCK B550 VELOCITA AM4 AMD, 1 ,"(S/ 1.112,96)",https://www.sercoplus.com/socket-amd-am4/11181-mainboard-asrock-b550-velocita-am4-amd.html
11,11,Sercoplus,MB,AM4,AM4,-,"MAINBOARD ASROCK X570 TAICHI RAZER EDITION, WIFI, AM4, AMD", 3 ,"(S/ 1.827,36)",https://www.sercoplus.com/socket-amd-am4/12605-mainboard-asrock-x570-taichi-razer-editi.html
12,12,Sercoplus,MB,AM4,AM4,-,MAINBOARD GIGABYTE B550 AORUS PRO AM4 AMD, >20 ,"(S/ 977,60)",https://www.sercoplus.com/socket-amd-am4/11333-mainboard-gigabyte-b550-aorus-pro-am4-am.html
