Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
CyC,PSU,-,-,500W,FUENTE EVGA 500 BQ 500W 80 PLUS BRONZE SEMI MODULAR ,10,287.28,https://cyccomputer.pe/fuentes-de-poder/17489-fuente-evga-500-bq-500w-80-plus-bronze-semi-modular-pn110-bq-0500-k1.html
CyC,PSU,-,-,700W,FUENTE REDRAGON RPGS GC-PS005 700W 80 PLUS BRONZE FULL MODULAR,10,323.19,https://cyccomputer.pe/fuentes-de-poder/17432-fuente-redragon-rpgs-gc-ps005-700w-80-plus-bronze-full-modular-.html
CyC,PSU,-,-,850W,FUENTE ANTRYX KIRIN 850W 80 PLUS GOLD MODULAR ,10,419.58,https://cyccomputer.pe/fuentes-de-poder/17348-fuente-antryx-kirin-850w-80-plus-gold-modular-pngpx850s.html
CyC,PSU,-,-,600W,FUENTE ANTRYX XPII 600W XTREME PRO 80 PLUS WHITE ,10,173.88,https://cyccomputer.pe/fuentes-de-poder/11892-fuente-antryx-xpii-600w-xtreme-pro-80-plus-white-pnap-xp600v2.html
CyC,PSU,-,-,650W,FUENTE SEASONIC S12III 650W 80PLUS BRONZE ,10,306.18,https://cyccomputer.pe/fuentes-de-poder/14161-fuente-seasonic-focus-ssr-650gb3-80-plus-bronze-650w-black.html
CyC,PSU,-,-,500W,FUENTE DEEPCOOL DA500 500W 80 PLUS BRONZE BLACK ,9,204.12,https://cyccomputer.pe/fuentes-de-poder/21441-fuente-deepcool-da500-500w-80-plus-bronze-black-pndp-bz-da500n.html
CyC,Case,-,All,-,CASE DEEPCOOL MATREXX 50 MESH 4FS ADD RGB SIN FUENTE VIDRIO TEMPLADO USB 3.0/USB 2.0 ,10,302.4,https://cyccomputer.pe/case-sin-fuente/21250-case-deepcool-matrexx-50-mesh-4fs-add-rgb-sin-fuente-vidrio-templado-usb-30usb-20-pndp-atx-matrexx50-mesh-4fs.html
CyC,Case,-,All,-,CASE ANTRYX FX SENTRY SE ARGB SIN FUENTE VIDRIO TEMPLADO USB 3.0/USB 2.0 ,10,264.6,https://cyccomputer.pe/case-sin-fuente/15515-case-antryx-fx-sentry-se-argb-sin-fuente-vidrio-templado-usb-30usb-20-pnac-fx260sek-t3dr.html
CyC,Case,-,All,-,CASE ANTRYX RX 450 BLACK ARGB SIN FUENTE VIDRIO TEMPLADO USB 3.0/USB 2.0 ,10,215.46,https://cyccomputer.pe/case-sin-fuente/16143-case-antryx-rx-450-black-argb-sin-fuente-vidrio-templado-usb-30usb-20-pnac-rx450k.html
CyC,Case,-,All,-,CASE ANTRYX RX 350 ARGB SIN FUENTE VIDRIO TEMPLADO USB 3.0/USB 2.0 ,10,224.91,https://cyccomputer.pe/case-sin-fuente/18769-case-antryx-rx-350-argb-sin-fuente-vidrio-templado-usb-30usb-20-pnac-rx-350k-argb.html
